Title,Platform,Developer,Publisher,Summary,URL
Halo 2,"Xbox
PC (Microsoft Windows)
Xbox One
",Bungie,Microsoft Game Studios,"Halofdfdfdfd 2 is the sequel to the highly successful and critically acclaimed Halo: Combat Evolved. In Halo 2, the saga continues as Master Chief—a genetically enhanced super-soldier—is the only thing standing between the relentless Covenant and the destruction of all humankind.",https://www.igdb.com/games/halo-2
Halo 999,"PC (Microsoft Windows)
Xbox 360
Xbox One
",343 Industries,Microsoft Studios,"Halo 4 marks the start of an epic new saga within the award-winning Halo universe. The Master Chief returns in this award-winning first-person shooter developed by 343 Industries. Shipwrecked on a mysterious world, faced with new enemies and deadly technology, the Chief returns to battle against an ancient evil bent on vengeance and annihilation...the universe will never be the same.",https://www.igdb.com/games/halo-4
